,Unnamed: 0,Rank,Title,Description,Runtime,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil,Director,Actor
61,62,62,Silence,"    In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",161,Drama,7.2,42.0,101541,8.58,Martin Scorsese,Andrew Garfield
62,63,63,Inferno,"    When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.",121,Action,6.2,40.0,161627,14.9,Ron Howard,Tom Hanks
64,65,65,Bad Moms,"    When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",100,Comedy,6.2,60.0,115314,12.79,Jon Lucas,Mila Kunis
66,67,67,Sausage Party,    A sausage strives to discover the truth about his existence.,89,Animation,6.1,33.0,177525,7.1,Greg Tiernan,Seth Rogen
67,68,68,Allegiant,"    After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",120,Action,5.7,28.0,110561,34.34,Robert Schwentke,Shailene Woodley
68,69,69,London Has Fallen,"    In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",99,Action,5.9,77.0,146827,113.2,Babak Najafi,Gerard Butler
69,70,70,The Jungle Book,"    After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",106,Adventure,7.4,42.0,260582,128.3,Jon Favreau,Neel Sethi
70,71,71,The Great Wall,"    In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",103,Action,5.9,55.0,126323,97.69,Yimou Zhang,Matt Damon
71,72,72,Trolls,"    After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",92,Animation,6.5,45.0,73177,66.18,Mike Mitchell,Anna Kendrick
73,74,74,The Shallows,"    A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",86,Action,6.3,59.0,121278,364.0,Jaume Collet-Serra,Blake Lively
74,75,75,Below Her Mouth,    An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,94,Drama,5.5,42.0,10652,45.54,April Mullen,Erika Linder
75,76,76,Everybody Wants Some!!,"    In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",117,Comedy,6.9,83.0,52280,153.7,Richard Linklater,Blake Jenner
76,77,77,Jack Reacher: Never Go Back,    Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,118,Action,6.1,47.0,140671,10.91,Edward Zwick,Tom Cruise
77,78,78,The Choice,    Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,111,Drama,6.6,26.0,35653,55.12,Ross Katz,Benjamin Walker
78,79,79,Snowden,"    The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",134,Biography,7.3,58.0,139870,3.37,Oliver Stone,Joseph Gordon-Levitt
79,80,80,Criminal,"    In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",113,Action,6.3,36.0,60378,58.7,Ariel Vromen,Kevin Costner
80,81,81,The Edge of Seventeen,"    High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",104,Comedy,7.3,77.0,106084,18.71,Kelly Fremon Craig,Hailee Steinfeld
81,82,82,Hush,    A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,82,Horror,6.6,67.0,106204,21.59,Mike Flanagan,John Gallagher Jr.
82,83,83,Miss Sloane,"    In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",132,Drama,7.5,64.0,65372,14.27,John Madden,Jessica Chastain
83,84,84,Deepwater Horizon,"    A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.",107,Action,7.1,68.0,153645,14.43,Peter Berg,Mark Wahlberg
84,85,85,Allied,"    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",124,Action,7.1,60.0,143225,3.44,Robert Zemeckis,Brad Pitt
85,86,86,Finding Dory,"    Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",97,Animation,7.3,77.0,243628,61.43,Andrew Stanton,Ellen DeGeneres
